13.146,485.25,0,117.77,95.199,195.12,0
0,71.933,0,179.92,52.254,234.1,0
0,4.6821,0,2.9402,0.69032,3.5448,0
0,6.8119,0,4.9016,1.8231,5.3244,0
1.63,147.64,0,96.276,41.132,450.69,0
0,5.072,0,0.38815,0.37858,3.5115,0
0,32.223,0,6.1325,6.0342,1.9421,0
10.28,417.82,0,92.817,63.284,211.98,0
0,117.7,0,46.712,4.2147,90.312,0
0,14.084,0,13.075,1.4034,17.713,0
119.16,1604.3,0,213.41,124.07,1476.4,0
25.43,450.83,0,154.05,70.934,276.46,0
0,470.27,0,99.206,43.798,134.49,0
997.65,571.7,0,173.77,45.041,1017.6,0
74.76,1263.2,0,203.04,122.08,580.41,0
0,10.6,0,5.8301,1.1006,26.931,0
1299,21948,0,6624.7,1243.1,2469.2,0
15.242,2530.8,0,1458.2,191.34,3928.4,0
9.213,362.81,0,59.349,14.441,400.65,0
105.69,1744.8,0,346.24,1047.4,755.54,0
0.12,304.33,0,52.237,198.83,318.33,0
14.25,3247.1,0,204.31,268.02,928.75,0
10.895,1535.9,0,156.46,902.06,1564.9,0
550.22,4092.6,0,396.81,322.42,1577.2,0
6.6,556.86,0,78.429,189.83,226.18,0
201.61,1316.4,0,487.16,62.688,245.11,0
0,105.99,0,20.078,49.237,13.624,0
0,32.608,0,95.357,0.32459,81.099,0
37.1,2192.7,0,391.07,5321.2,2264.5,0
23.712,148.73,0,63.167,28.588,256.4,0
57.673,756.92,0,267.17,281.66,628.01,0
156.93,369.6,0,71.829,6.733,59.782,0
28.5,184.31,0,62.259,15.369,38.64,0
0,2.4961,0,2.6917,0.74693,5.3799,0
56.156,225.96,0,99.564,87.006,358.77,0
8.68,377.13,0,249.71,48.708,26.246,0
35.267,701.87,0,217.48,94.496,1040.2,0
2.15,361.58,0,148.13,87.558,338.82,0
0,22.195,0,29.881,0.48424,24.871,0
2.4972,779.46,0,424.59,227.31,5076.6,0
0,21.002,0,2.8809,43.13,99.965,0
0,1052.5,0,509.08,130.5,2373,0
0,19.62,0,10.492,1.061,34.76,0
0,305.66,0,5.6337,0.21687,345.34,0
0,199.18,0,19.15,0.6898,25.18,0
0,2221,0,133.61,61.978,1881.7,0
0,10.322,0,33.956,2.9593,69.064,0
0,2645.4,0,42.227,9.3901,961.49,0
0,20.021,0,19.31,1.1349,68.19,0
0,8.34,0,12.42,0.04,5.8,0
0,0,0,19.86,0,6.4807,0
0,63.65,0,36.84,0.0463,0.85,0
0,0,0,8.6587,0,0,0
0,6.8779,0,99.48,0.33143,100.66,0
3.362,3606,0,176.37,260.79,3205.2,0
0,241.52,0,2.334,0.10814,126.22,0
0,161.78,0,40.823,56.563,972.12,0
0,258.91,0,54.487,16.121,200.28,0
0,74.314,0,17.869,0.20583,132.58,0
28.181,3281.4,0,346.69,4173.4,2559.8,0
0,3560.2,0,244.45,1598.1,375.26,0
0,4626.3,0,183.91,66.609,9642.7,0
0,0,0,0,0,8.2207,0
0,90.847,0,56.001,34.854,104.23,0
0,189.9,0,64.021,1.8662,198.1,0
0,0,0,0,0,0,0
0,7.2652,0,12.245,0.49445,94.053,0
0,0,0,29.311,0,255.57,0
0,2230.2,0,283.14,2744.3,2857.2,0
0,56.122,0,15.477,0.60744,124.56,0
0,42.155,0,11.893,6.4108,61.809,0
0,1.04,0,1.235,4.3871,26.2,0
0,319.52,0,33.673,2.3271,260.64,0
0,349.89,0,133.88,42.334,1626.9,0
0,1824.6,0,115.62,3.1882,588.03,0
0,30.334,0,10.214,1.1641,65.599,0
0,588.28,0,30.905,53.496,285.51,0
2.26,2519.5,0,210.62,2745.4,1697,0
0,0,0,0,0,0,0
0,989.01,0,535.64,7.2219,2507,0
0,364.27,0,17.112,35.225,336.57,0
5.62,1859.7,0,183.23,1274.1,236.06,0
0,1336.9,0,103.74,222.85,461.69,0
0,138.02,0,10.713,0.49416,149.8,0
0,0,0,0.51232,0,0,0
0,0,0,15.892,0,35.514,0
0,81.053,0,8.9193,6.7186,122.35,0
0,16.18,0,7.1678,2.4772,66.853,0
0,739.32,0,78.869,4.2501,185.2,0
0,1332.3,0,323.06,338.02,1609.6,0
0,2988.4,0,408.47,35.353,2958.5,0
0,5.864,0,10.977,0.1051,51.509,0
0,0.25849,0,60.216,0.0075991,65.726,0
0,0,0,9.0837,0,9.5402,0
0,0,0,0,0,0,0
0,377.16,0,15.557,0.55168,356.48,0
0,0.018201,0,1.4218,0.0016703,7.42,0
0,5.89,0,12.287,5.3935,160.12,0
0,0,0,148.78,0,81.03,0
0,97.901,0,2.8001,0.17868,48.016,0
105.07,8462.4,0,1209.1,251.06,25001,0
0,1250,0,38.148,6.1822,522.28,0
3.6992,1579.6,0,35.089,188.8,194.41,0
12.32,2013.2,0,48.251,201.76,317.01,0
0,28.864,0,6.9434,18.219,40.982,0
0,13.72,0,5.8119,0.052672,16.056,0
9.7114,391.73,0,44.47,23.156,446.9,0
9.94,1344.1,0,113.85,1122.1,67.549,0
0,3.6069,0,0.59759,0.62819,2.3959,0
0.011211,231.78,0,187.5,2720.8,75.429,0
19.633,527.88,0,104.34,1961.1,138.23,0
107.06,3251.5,0,594.05,2962.2,1251.1,0
53.299,382.83,0,81.015,1333.8,1534.1,0
0,468.74,0,42.669,194.44,66.358,0
11.575,814.45,0,34.44,12.215,351.06,0
0,0,0,0,0,2.8885,0
220.78,7542.5,0,1150.5,17767,1482.1,0
0,858.27,0,42.06,76.32,160.52,0
0,191.6,0,33.908,10.586,379.72,0
458.81,4785.7,0,128.96,75.829,1306.8,0
0,0.048851,0,0.012952,0.011532,0.090491,0
0,18.571,0,1.9015,7.6532,16.632,0
0,0.094951,0,0.19303,0.0022968,34.803,0
0,38.392,0,23.763,125.52,176.1,0
0,144.34,0,1.8229,41.28,78.067,0
0,1.4948,0,0.28688,0.29121,120.84,0
0,0,0,0,0,0,0
0,20.593,0,20.758,1.2356,236.74,0
0,7.1021,0,8.3931,0.70388,216.41,0
8.11,3627.5,0,528.8,3641.4,1811.3,0
0,3410.7,0,1526.1,1037.8,2386.2,0
0,4.8229,0,1.5979,0.87116,99.687,0
0,0.94175,0,0.17746,0.18679,1.7141,0
0.04,671.1,0,142.04,20.252,314.55,0
0,10.162,0,0.57879,0.66373,0.98698,0
0,7.5688,0,0.14415,1.0013,0.29031,0
0,41.42,0,15.69,19.7,56.41,0
0,111.43,0,8.0333,3368.7,1.1753,0
26.73,587.9,0,110.17,24.331,33.401,0
309.43,925.19,0,1604,162.32,1519.2,0
0,2870.5,0,39.706,1956.4,68.332,0
0,428.96,0,16.012,267.4,217.8,0
343.32,1090.1,0,97.363,4681.7,1795.6,0
0,1.0718,0,0.44301,0.13384,7.3441,0
37.91,35.074,0,5.3488,8.0957,66.275,0
2.46,1392.8,0,404.85,2729.4,545.17,0
0,155.24,0,41.774,7.9212,5.3979,0
0,0,0,0,0,4.7353,0
